Study_ID,Ex_ID,Con_ID,Out_ID,ES_ID,shared_control,comparison_structure,id_notes,title,doi,publish_in,outcome_id_notes,sp_latin,sp_common,Strain,dam_age,dam_age_notes,gest_stage_ex,gest_stage_ex_notes,exposure_span_d,exposure_type,exposure_session_duration_h,ex_session_duration_notes,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,control_loudness,control_notes,offspring_sex,offspring_age_d,offspring_age_notes,experimental_procedures,experimental_procedures_notes,outcome_type,assay_type,assay_type_notes,measurement_variable,Data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,Comparison_structure,Higher_better,higher_better_notes,higher_better_notes,C_mean,C_SD,C_n,C_SE,C_ci,Ex_mean,Ex_SD,Ex_n,Ex_SE,Ex_ci,stat_comment,general_comment,c_median,c_q1,c_q3,ex_median,ex_q1,ex_q3,checked_ML,checked_ML_comments,,corrections_notes_AL
arjunan_2023_stress,ex007,con004,out010,es016,Yes,,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,late,day 11-21,11,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Lgs_per,con_lgs_per,Independent,No,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,11.52,,170.48,10.75,6,4.39,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise"
arjunan_2023_stress,ex008,con004,out009,es017,Yes,,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid, late",day 1-21,21,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Fgs_cen,con_fgs_cen,Independent,Yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,10.58,,93.46,11.78,6,4.81,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise"
arjunan_2023_stress,ex008,con004,out010,es018,Yes,,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid, late",day 1-21,21,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Fgs_per,con_fgs_per,Independent,No,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,11.52,,202.72,12.09,6,4.94,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise"
hadizadeh_2018_irjbamedsci,ex009,con005,out011,es019,Yes,,"one control, one treatment for females and males","Probiotic supplementation improves the cognitive function and
the anxiety-like behaviors in the stressed rats",10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,third trimester,7,Intermitent,4,h,Traffic,Audible,95,,Unclear,,"The control: kept in the noise chamber for the
same period of time without noise exposure",male,45,,The CON and ST groups received drinking water as vehicle,,Anxiety,Elevated Plus Maze (EPM),,Entries into open arms (OAE),Percentage,%,Not reported,Figure 2A,hadizadeh_2018_irjbamedsci_fig2A,CON_en,ST_en,CON_ST_en,Independent,Yes,Negative,declined the anxiety-like behavior where the number of open arm entries increased,54.98,7.67,6,3.13,,19.51,3.07,6,1.25,,,,,,,,,,yes - recheck!,exp mean values look too low,,"Done! re-extracted, I swapped the selection in meta-digitise"
hadizadeh_2018_irjbamedsci,ex009,con005,out012,es020,Yes,,"one control, one treatment for females and males","Probiotic supplementation improves the cognitive function and
the anxiety-like behaviors in the stressed rats",10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,third trimester,7,Intermitent,4,h,Traffic,Audible,95,,Unclear,,"The control: kept in the noise chamber for the
same period of time without noise exposure",male,45,,The CON and ST groups received drinking water as vehicle,,Anxiety,Elevated Plus Maze (EPM),,Time in open arms (OAT),Percentage,%,Not reported,Figure 2B,hadizadeh_2018_irjbamedsci_fig2B,CON_ti,ST_ti,CON_ST_ti,Independent,Yes,Negative,,41.56,2.9,6,1.18,,17.52,4.35,6,1.78,,,,,,,,,,yes - recheck!,exp mean values look too low,,"Done! re-extracted, I swapped the selection in meta-digitise"
abramova_2024_devneur,ex010,con006,out013,es021,No,,"one control, one treatment for females and males",Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies ,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,,"No noise, standars housing conditions",female,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups ,Time in open arms (OAT),Time,s,Light phase,Fig. 2. a,abramova_2024_devneur_fig2a,Con_f_oa,PS_f_oa,Con_PS_f_oa,Independent,Yes,Negative,,45.56,30.7,37,5.05,,27.88,17.52,49,2.5,,results presented as Med (Q1; Q3),,,,,,,,yes,minor edites to extracted text needed,,
abramova_2024_devneur,ex011,con007,out013,es022,No,,"one control, one treatment for females and males",Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies ,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,,"No noise, standars housing conditions",male,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups ,Time in open arms (OAT),Time,s,Light phase,Fig. 2. a,abramova_2024_devneur_fig2a,Con_m_oa,PS_m_oa,Con_PS_m_oa,Independent,Yes,Negative,,53.82,29.51,35,4.99,,38.35,24.99,44,3.77,,results presented as Med (Q1; Q3),,,,,,,,yes,minor edites to extracted text needed,,
abramova_2024_devneur,ex010,con006,out014,es023,No,,"one control, one treatment for females and males",Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies ,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,,"No noise, standars housing conditions",female,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups | Head-dipping,Head-dipping,Count,Count,Light phase,Fig. 2. b,abramova_2024_devneur_fig2b,Con_f_hd,PS_f_hd,Con_PS_f_hd,Independent,Yes,Negative,,10.2,5.76,37,0.95,,4.46,3.09,49,0.44,,results presented as Med (Q1; Q3),,,,,,,,yes,minor edites to extracted text needed,,
abramova_2024_devneur,ex011,con007,out014,es024,No,,"one control, one treatment for females and males",Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies ,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,,"No noise, standars housing conditions",male,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups | Head-dipping,Head-dipping,Count,Count,Light phase,Fig. 2. b,abramova_2024_devneur_fig2b,Con_m_hd,PS_m_hd,Con_PS_m_hd,Independent,Yes,Negative,,11.55,6.92,35,1.17,,8.55,5.26,44,0.79,,results presented as Med (Q1; Q3),,,,,,,,yes,minor edites to extracted text needed,,
abramova_2024_devneur,ex010,con006,out015,es025,No,,"one control, one treatment for females and males",Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies ,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,,"No noise, standars housing conditions",female,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups ,Total freezing time,Time,s,Light phase,Fig. 2. c,abramova_2024_devneur_fig2c,Con_f_fr,PS_f_fr,Con_PS_f_fr,Independent,No,Positive,,2.59,3.45,37,0.57,,20.84,19.55,49,2.79,,results presented as Med (Q1; Q3),,,,,,,,yes,minor edites to extracted text needed,,
abramova_2024_devneur,ex011,con007,out015,es026,No,,"one control, one treatment for females and males",Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies ,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,,"No noise, standars housing conditions",male,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups ,Total freezing time,Time,s,Light phase,Fig. 2. c,abramova_2024_devneur_fig2c,Con_m_fr,PS_m_fr,Con_PS_m_fr,Independent,No,Positive,,1.23,2.02,35,0.34,,3.27,3.72,44,0.56,,results presented as Med (Q1; Q3),,,,,,,,yes,minor edites to extracted text needed,,
abramova_2024_devneur,ex010,con006,out016,es027,No,,"one control, one treatment for females and males",Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies ,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,,"No noise, standars housing conditions",female,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups ,Total grooming time,Time,s,Light phase,Fig. 2. d,abramova_2024_devneur_fig2d,Con_f_gd,PS_f_gd,Con_PS_f_gd,Independent,No,Positive,,22.57,14.12,37,2.32,,30.57,22.63,49,3.23,,results presented as Med (Q1; Q3),,,,,,,,yes,minor edites to extracted text needed,,
abramova_2024_devneur,ex011,con007,out016,es028,No,,"one control, one treatment for females and males",Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies ,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,,"No noise, standars housing conditions",male,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups ,Total grooming time,Time,s,Light phase,Fig. 2. d,abramova_2024_devneur_fig2d,Con_m_gd,PS_m_gd,Con_PS_m_gd,Independent,No,Positive,,28.31,19.54,35,3.3,,48.4,27.76,44,4.19,,results presented as Med (Q1; Q3),,,,,,,,yes,minor edites to extracted text needed,,
abramova_2024_devneur,ex010,con006,out017,es029,No,,"one control, one treatment for females and males",Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies ,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,,"No noise, standars housing conditions",female,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups ,Mean grooming duration,Time,s,Light phase,Fig. 2. e,abramova_2024_devneur_fig2e,Con_f_mg,PS_f_mg,Con_PS_f_mg,Independent,No,Positive,,6.97,3.61,37,0.59,,7.61,4.63,49,0.66,,results presented as Med (Q1; Q3),,,,,,,,yes,minor edites to extracted text needed,,
abramova_2024_devneur,ex011,con007,out017,es030,No,,"one control, one treatment for females and males",Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies ,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,,"No noise, standars housing conditions",male,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups ,Mean grooming duration,Time,s,Light phase,Fig. 2. e,abramova_2024_devneur_fig2e,Con_m_mg,PS_m_mg,Con_PS_m_mg,Independent,No,Positive,,7.13,4.67,35,0.79,,12.15,7.17,44,1.08,,results presented as Med (Q1; Q3),,,,,,,,yes,minor edites to extracted text needed,,
