dataset,variable,role,definition,units,allowed_values_or_formula,authority
clean extraction,data_source,extracted/reported,"Location of extracted data in the publication. Indicate where the data (sample sizes, averages, measures of dispersion) were reported (e.g., main text, table, figure, or supplementary material). If the source is a table or figure, specify its number (e.g., Table 1, Figure 1).",,,registered protocol v4
clean extraction,data_file,extracted/reported,"Name of the file where a screenshot of the figure with the extracted data is saved. If the data (sample sizes, averages, measures of dispersion) was shown in a figure, the screenshot should be saved in the format: First author_year_fig_number",,,registered protocol v4
clean extraction,c_a_id,identifier,"Label given to the relevant control group (not exposed to noise in utero) by the authors (e.g., label used in a plot presenting the measured behavioural outcome).",,,registered protocol v4
clean extraction,ex_a_id,identifier,"Label given to the relevant noise exposed group by the authors (e.g., label given in a plot presenting the measured behavioural outcome) .",,,registered protocol v4
clean extraction,comparison,identifier,Focal contrast label – A unique label should be created by concatenating the comparison ID (co_id) and the experiment ID (ex_id). For example: control_chronicnoise.,,,registered protocol v4
clean extraction,higher_better,extracted/reported,Direction of outcome measurement – Indicates whether a higher mean value reflects lower levels of anxiety/depression. Options: “Yes” – Higher mean = less anxiety/depression; “No” – Higher mean = more anxiety/depression.,,Yes | No,registered protocol v4
clean extraction,effect_direction_label,extracted/reported,Extracted Positive/Negative direction label retained separately from the explanatory higher_better_notes field.,,,approved codebook addition or clearer mapping
clean extraction,higher_better_notes,extracted/reported,Notes on the direction of outcome measurement (e.g. shorter latency is better = less anxiety).,,,registered protocol v4
clean extraction,c_mean,extracted/reported,Mean outcome measure for the offspring control group.,,,registered protocol v4
clean extraction,c_sd,extracted/reported,Standard deviation for the offspring control group outcome measure.,,,registered protocol v4
clean extraction,c_n,extracted/reported,Sample size for the offspring control group.,,,registered protocol v4
clean extraction,c_se,extracted/reported,Standard error reported by the authors or directly extracted from the study source for the control group. It is preserved unchanged and is not replaced by c_se_analysis.,,,approved codebook addition or clearer mapping
clean extraction,c_se_analysis,audit/provenance,"Final control-group SE selected for analysis after wrangling. It equals c_se when reported and accepted, otherwise it is derived reproducibly. Median/IQR rows are completed in the derived analysis dataset.",,,approved codebook addition or clearer mapping
clean extraction,c_se_derivation,audit/provenance,Method used to obtain or validate c_se_analysis.,,,approved codebook addition or clearer mapping
clean extraction,c_se_source,audit/provenance,"Text provenance for c_se_analysis: the exact paper table/figure, author file/email, or input source and derivation used. This is not a numeric SE and does not replace c_se.",,,approved codebook addition or clearer mapping
clean extraction,c_ci,extracted/reported,"Confidence intervals for the offspring control group outcome measure. If only CI are reported, they will be transformed to SE and noted in the stat_comment column.",,,registered protocol v4
clean extraction,c_median,extracted/reported,Reported median for the control group outcome.,,,approved codebook addition or clearer mapping
clean extraction,c_q1,extracted/reported,Reported first quartile for the control group outcome.,,,approved codebook addition or clearer mapping
clean extraction,c_q3,extracted/reported,Reported third quartile for the control group outcome.,,,approved codebook addition or clearer mapping
clean extraction,ex_mean,extracted/reported,Mean for the offspring experimental group outcome measure.,,,registered protocol v4
clean extraction,ex_sd,extracted/reported,Standard deviation for the offspring experimental group outcome measure.,,,registered protocol v4
clean extraction,ex_n,extracted/reported,Sample size for the offspring experimental group.,,,registered protocol v4
clean extraction,ex_se,extracted/reported,Standard error reported by the authors or directly extracted from the study source for the experimental group. It is preserved unchanged and is not replaced by ex_se_analysis.,,,approved codebook addition or clearer mapping
clean extraction,ex_se_analysis,audit/provenance,"Final experimental-group SE selected for analysis after wrangling. It equals ex_se when reported and accepted, otherwise it is derived reproducibly. Median/IQR rows are completed in the derived analysis dataset.",,,approved codebook addition or clearer mapping
clean extraction,ex_se_derivation,audit/provenance,Method used to obtain or validate ex_se_analysis.,,,approved codebook addition or clearer mapping
clean extraction,ex_se_source,audit/provenance,"Text provenance for ex_se_analysis: the exact paper table/figure, author file/email, or input source and derivation used. This is not a numeric SE and does not replace ex_se.",,,approved codebook addition or clearer mapping
clean extraction,ex_ci,extracted/reported,"Confidence intervals for the offspring experimental group outcome measure. If only CI are reported, they will be transformed to SE and noted in the stat_comment column.",,,registered protocol v4
clean extraction,ex_median,extracted/reported,Reported median for the experimental group outcome.,,,approved codebook addition or clearer mapping
clean extraction,ex_q1,extracted/reported,Reported first quartile for the experimental group outcome.,,,approved codebook addition or clearer mapping
clean extraction,ex_q3,extracted/reported,Reported third quartile for the experimental group outcome.,,,approved codebook addition or clearer mapping
clean extraction,stat_comment,extracted/reported,Notes regarding statistics extracted for the outcome measures.,,,registered protocol v4
clean extraction,general_comment,extracted/reported,Any relevant overall notes for the extracted data.,,,registered protocol v4
derived analysis,c_mean_analysis,analysis statistic,"Final control mean used in analysis: reported c_mean when available; otherwise Luo et al. estimate from Q1, median, Q3 and n; exact zeros receive the approved primary 0.9 reference correction.",,Luo: w=0.7+0.39/n; mean=w*(Q1+Q3)/2+(1-w)*median; exact-zero primary=0.9*smallest positive matching outcome reference,approved analysis preparation
derived analysis,c_mean_derivation,audit/provenance,"Method used to obtain c_mean_analysis, including any exact-zero correction.",,,approved analysis preparation
derived analysis,c_mean_source,audit/provenance,Source of the reported or derived inputs used for c_mean_analysis.,,,approved analysis preparation
derived analysis,c_sd_analysis,analysis statistic,"Final control SD used in analysis: c_sd when reported/accepted; otherwise c_se*sqrt(c_n), or Wan et al. estimate from Q1 and Q3.",,"SD=SE*sqrt(n), or Wan: SD=(Q3-Q1)/[2*qnorm((0.75*n-0.125)/(n+0.25))]",approved analysis preparation
derived analysis,c_sd_derivation,audit/provenance,Method used to obtain c_sd_analysis.,,,approved analysis preparation
derived analysis,c_sd_source,audit/provenance,Source of the reported or derived inputs used for c_sd_analysis.,,,approved analysis preparation
derived analysis,ex_mean_analysis,analysis statistic,"Final experimental mean used in analysis: reported ex_mean when available; otherwise Luo et al. estimate from Q1, median, Q3 and n; exact zeros receive the approved primary 0.9 reference correction.",,Luo: w=0.7+0.39/n; mean=w*(Q1+Q3)/2+(1-w)*median; exact-zero primary=0.9*smallest positive matching outcome reference,approved analysis preparation
derived analysis,ex_mean_derivation,audit/provenance,"Method used to obtain ex_mean_analysis, including any exact-zero correction.",,,approved analysis preparation
derived analysis,ex_mean_source,audit/provenance,Source of the reported or derived inputs used for ex_mean_analysis.,,,approved analysis preparation
derived analysis,ex_sd_analysis,analysis statistic,"Final experimental SD used in analysis: ex_sd when reported/accepted; otherwise ex_se*sqrt(ex_n), or Wan et al. estimate from Q1 and Q3.",,"SD=SE*sqrt(n), or Wan: SD=(Q3-Q1)/[2*qnorm((0.75*n-0.125)/(n+0.25))]",approved analysis preparation
derived analysis,ex_sd_derivation,audit/provenance,Method used to obtain ex_sd_analysis.,,,approved analysis preparation
derived analysis,ex_sd_source,audit/provenance,Source of the reported or derived inputs used for ex_sd_analysis.,,,approved analysis preparation
derived analysis,study_cluster_id,dependence identifier,Study-level clustering identifier; equals study_id.,,,approved analysis preparation
derived analysis,cohort_id,dependence identifier,"Identifier for the animals contributing to a treatment-control contrast, derived from study_id, con_id and ex_id.",,,approved analysis preparation
derived analysis,test_cluster_id,dependence identifier,Identifier grouping behavioural outcomes measured within the same behavioural test within a study.,,,approved analysis preparation
derived analysis,timepoint_id,dependence identifier,"Identifier for repeated measurement occasion within a cohort, derived from study, cohort and offspring_age_d.",,,approved analysis preparation
derived analysis,lnrr_raw,effect size,Natural log of ex_mean_analysis / c_mean_analysis. Positive values mean the exposed group has a higher observed outcome.,,log(ex_mean_analysis/c_mean_analysis),approved analysis preparation
derived analysis,lnrr_harm,effect size,Sign-oriented lnRR: positive values consistently mean worse anxiety/depression. Equals lnrr_raw when higher_better=No and -lnrr_raw when higher_better=Yes.,,if higher_better=Yes: -lnrr_raw; if No: lnrr_raw,approved analysis preparation
derived analysis,sampling_variance_lnrr,effect-size precision,Independent-arm sampling variance of lnRR. The same variance applies to lnrr_raw and lnrr_harm because changing the sign does not change variance.,,ex_sd_analysis^2/(ex_n*ex_mean_analysis^2) + c_sd_analysis^2/(c_n*c_mean_analysis^2),approved analysis preparation
