source_csv_row,study_id,es_id,offspring_sex,measurement_variable,crosscheck_status,crosscheck_package,crosscheck_notes,c_se_reported,c_se_analysis,c_se_derivation,c_se_source,ex_se_reported,ex_se_analysis,ex_se_derivation,ex_se_source
12,hassanvand_2012_phyphar,es011,male,Rearing frequency,Verified – no change,,,,0.751871,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,,1.002495,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2
13,hassanvand_2012_phyphar,es012,male,Sections crossed,Verified – no change,,,,1.816991,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,,1.06512,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2
14,arjunan_2023_stress,es013,male,Time in central square,Corrected transcription,3 – Arjunan 2023 acoustic exposure,"The source describes a white-noise generator, not ultrasound. | The stated range is within the audible/broadband band used in this review. | The source states all frequencies from 0 to 20 kHz.",,10.581796,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,,7.69548,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B
15,arjunan_2023_stress,es014,male,Time in peripheral square,Corrected transcription,3 – Arjunan 2023 acoustic exposure,"The source describes a white-noise generator, not ultrasound. | The stated range is within the audible/broadband band used in this review. | The source states all frequencies from 0 to 20 kHz. | Use the exact saved image filename for reproducibility.",,11.516684,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B,,7.952677,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B
16,arjunan_2023_stress,es015,male,Time in central square,Corrected transcription,3 – Arjunan 2023 acoustic exposure,"The source describes a white-noise generator, not ultrasound. | The stated range is within the audible/broadband band used in this review. | The source states all frequencies from 0 to 20 kHz.",,10.581796,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,,4.809165,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B
17,arjunan_2023_stress,es016,male,Time in peripheral square,Corrected transcription,3 – Arjunan 2023 acoustic exposure,"The source describes a white-noise generator, not ultrasound. | The stated range is within the audible/broadband band used in this review. | The source states all frequencies from 0 to 20 kHz. | Use the exact saved image filename for reproducibility.",,11.516684,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B,,4.388669,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B
18,arjunan_2023_stress,es017,male,Time in central square,Corrected transcription,3 – Arjunan 2023 acoustic exposure,"The source describes a white-noise generator, not ultrasound. | The stated range is within the audible/broadband band used in this review. | The source states all frequencies from 0 to 20 kHz.",,10.581796,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,,4.809165,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B
19,arjunan_2023_stress,es018,male,Time in peripheral square,Corrected transcription,3 – Arjunan 2023 acoustic exposure,"The source describes a white-noise generator, not ultrasound. | The stated range is within the audible/broadband band used in this review. | The source states all frequencies from 0 to 20 kHz. | Use the exact saved image filename for reproducibility.",,11.516684,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B,,4.935722,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B
20,hadizadeh_2018_irjbamedsci,es019,male,Entries into open arms (OAE),Verified – no change,,,3.13,3.13,Reported SEM; used unchanged for analysis,hadizadeh_2018_irjbamedsci_fig2A; Figure 2A,1.25,1.25,Reported SEM; used unchanged for analysis,hadizadeh_2018_irjbamedsci_fig2A; Figure 2A
21,hadizadeh_2018_irjbamedsci,es020,male,Time in open arms (OAT),Verified – no change,,,1.18,1.18,Reported SEM; used unchanged for analysis,hadizadeh_2018_irjbamedsci_fig2B; Figure 2B,1.78,1.78,Reported SEM; used unchanged for analysis,hadizadeh_2018_irjbamedsci_fig2B; Figure 2B
22,abramova_2024_devneur,es021,female,Time in open arms (OAT),Verified – no change,,,,5.047049,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2a; Fig. 2. a,,2.502857,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2a; Fig. 2. a
23,abramova_2024_devneur,es022,male,Time in open arms (OAT),Verified – no change,,,,4.9881,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2a; Fig. 2. a,,3.767384,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2a; Fig. 2. a
24,abramova_2024_devneur,es023,female,Head-dipping,Verified – no change,,,,0.946938,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2b; Fig. 2. b,,0.441429,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2b; Fig. 2. b
25,abramova_2024_devneur,es024,male,Head-dipping,Verified – no change,,,,1.169693,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2b; Fig. 2. b,,0.792975,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2b; Fig. 2. b
26,abramova_2024_devneur,es025,female,Total freezing time,Verified – no change,,,,0.567177,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2c; Fig. 2. c,,2.792857,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2c; Fig. 2. c
27,abramova_2024_devneur,es026,male,Total freezing time,Verified – no change,,,,0.341442,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2c; Fig. 2. c,,0.560811,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2c; Fig. 2. c
28,abramova_2024_devneur,es027,female,Total grooming time,Verified – no change,,,,2.321314,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2d; Fig. 2. d,,3.232857,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2d; Fig. 2. d
29,abramova_2024_devneur,es028,male,Total grooming time,Verified – no change,,,,3.302863,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2d; Fig. 2. d,,4.184977,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2d; Fig. 2. d
30,abramova_2024_devneur,es029,female,Mean grooming duration,Verified – no change,,,,0.59348,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2e; Fig. 2. e,,0.661429,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2e; Fig. 2. e
31,abramova_2024_devneur,es030,male,Mean grooming duration,Verified – no change,,,,0.789374,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2e; Fig. 2. e,,1.080918,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2e; Fig. 2. e
32,abramova_2024_devneur,es031,female,Center entries (crossing),Verified – no change,,,,0.198923,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3a; Fig. 3. a,,0.272857,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3a; Fig. 3. a
33,abramova_2024_devneur,es032,male,Center entries (crossing),Verified – no change,,,,0.251856,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3a; Fig. 3. a,,0.20352,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3a; Fig. 3. a
34,abramova_2024_devneur,es033,female,Rearing frequency,Verified – no change,,,,0.915702,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3b; Fig. 3. c,,1.57,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3b; Fig. 3. c
35,abramova_2024_devneur,es034,male,Rearing frequency,Verified – no change,,,,1.64467,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3b; Fig. 3. c,,1.207553,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3b; Fig. 3. c
36,abramova_2024_devneur,es035,female,Sections crossed,Verified – no change,,,,2.364057,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3c; Fig. 3. b,,2.515714,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3c; Fig. 3. b
37,abramova_2024_devneur,es036,male,Sections crossed,Verified – no change,,,,2.222756,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3c; Fig. 3. b,,2.06083,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3c; Fig. 3. b
38,abramova_2024_devneur,es037,female,Total freezing time,Verified – no change,,,,1.765645,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3d; Fig. 3. d,,4.401429,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3d; Fig. 3. d
39,abramova_2024_devneur,es038,male,Total freezing time,Verified – no change,,,,2.665617,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3d; Fig. 3. d,,7.390043,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3d; Fig. 3. d
40,abramova_2024_devneur,es039,female,Total grooming time,Verified – no change,,,,2.189795,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3e; Fig. 3. e,,2.457143,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3e; Fig. 3. e
41,abramova_2024_devneur,es040,male,Total grooming time,Verified – no change,,,,1.408027,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3e; Fig. 3. e,,3.814119,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3e; Fig. 3. e
42,abramova_2024_devneur,es041,female,Grooming frequency,Verified – no change,,,,0.35017,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3f; Fig. 3. f,,0.311429,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3f; Fig. 3. f
43,abramova_2024_devneur,es042,male,Grooming frequency,Verified – no change,,,,0.253546,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3f; Fig. 3. f,,0.419101,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3f; Fig. 3. f
44,abramova_2024_devneur,es043,female,Total immobility time,Verified – no change,,,,7.31494,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig4a; Fig.4. a,,5.388912,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig4a; Fig.4. a
45,abramova_2024_devneur,es044,male,Total immobility time,Verified – no change,,,,12.889345,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig4a; Fig.4. a,,12.310053,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig4a; Fig.4. a
46,abramova_2024_devneur,es045,female,Sucrose preference index,Corrected transcription,Source follow-up – Abramova 2024,The supplied author email confirms the stored mean and SE values. | Link the extracted values to the archived author correspondence screenshot.,4.3,4.3,Reported SE in author email; used unchanged for analysis,included_studies/abramova_2024_devneur/abramova_2024_devneur_author_email_sucrose_preference.png,5.4,5.4,Reported SE in author email; used unchanged for analysis,included_studies/abramova_2024_devneur/abramova_2024_devneur_author_email_sucrose_preference.png
47,abramova_2024_devneur,es046,male,Sucrose preference index,Corrected transcription,Source follow-up – Abramova 2024,The supplied author email confirms the stored mean and SE values. | Link the extracted values to the archived author correspondence screenshot.,5.2,5.2,Reported SE in author email; used unchanged for analysis,included_studies/abramova_2024_devneur/abramova_2024_devneur_author_email_sucrose_preference.png,4.3,4.3,Reported SE in author email; used unchanged for analysis,included_studies/abramova_2024_devneur/abramova_2024_devneur_author_email_sucrose_preference.png
48,oliveira_2015_jbehavbraisci,es047,male,Avoidance latency,Verified – no change,,,7.25,7.25,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig2b; Figure 2. b,4.15,4.15,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig2b; Figure 2. b
49,oliveira_2015_jbehavbraisci,es048,male,Avoidance latency,Verified – no change,,,34.2,34.2,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig2b; Figure 2. b,37.82,37.82,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig2b; Figure 2. b
50,oliveira_2015_jbehavbraisci,es049,male,Avoidance latency,Verified – no change,,,37.31,37.31,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig2b; Figure 2. b,42.49,42.49,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig2b; Figure 2. b
51,oliveira_2015_jbehavbraisci,es050,male,Escape latency,Verified – no change,,,1.11,1.11,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig3b; Figure 3. b,2.37,2.37,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig3b; Figure 3. b
52,oliveira_2015_jbehavbraisci,es051,male,Escape latency,Verified – no change,,,2.31,2.31,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig3b; Figure 3. b,1.17,1.17,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig3b; Figure 3. b
53,oliveira_2015_jbehavbraisci,es052,male,Escape latency,Verified – no change,,,2.23,2.23,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig3b; Figure 3. b,4.46,4.46,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig3b; Figure 3. b
54,pavlov_2023_molsci,es053,female,Sucrose preference index,Verified – no change,,,,3.073734,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4A; Figure 4A,,3.605354,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4A; Figure 4A
55,pavlov_2023_molsci,es054,female,Sections crossed,Verified – no change,,,,1.951125,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4C; Figure 4C,,0.847218,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4C; Figure 4C
56,pavlov_2023_molsci,es055,female,Time in central square,Verified – no change,,,,5.533986,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4D; Figure 4D,,2.979963,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4D; Figure 4D
57,pavlov_2023_molsci,es056,female,Time in open arms (OAT),Verified – no change,,,,6.590187,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4E; Figure 4E,,2.555017,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4E; Figure 4E
58,pavlov_2023_molsci,es057,female,Entries into open arms (OAE),Verified – no change,,,,1.720279,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4F; Figure 4F,,1.130515,SD / sqrt(n); derived for analysis from the extracted SD and sample size,pavlov_2023_molsci_Fig4F; Figure 4F
59,nishio_2006_intjdevlneur,es058,male,Time in open arms (OAT),Verified – no change,,,6.17,6.17,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2a; Fig. 2a,3.55,3.55,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2a; Fig. 2a
60,nishio_2006_intjdevlneur,es059,female,Time in open arms (OAT),Verified – no change,,,3.06,3.06,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2a; Fig. 2a,6.17,6.17,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2a; Fig. 2a
61,nishio_2006_intjdevlneur,es060,male,Entries into open arms (OAE),Verified – no change,,,4.31,4.31,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2b; Fig. 2b,3.48,3.48,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2b; Fig. 2b
62,nishio_2006_intjdevlneur,es061,female,Entries into open arms (OAE),Verified – no change,,,3.4,3.4,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2b; Fig. 2b,6.63,6.63,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2b; Fig. 2b
63,nishio_2006_intjdevlneur,es062,male,Entries to closed arms,Verified – no change,,,0.76,0.76,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2c; Fig. 2c,0.53,0.53,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2c; Fig. 2c
64,nishio_2006_intjdevlneur,es063,female,Entries to closed arms,Verified – no change,,,1.08,1.08,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2c; Fig. 2c,0.51,0.51,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2c; Fig. 2c
65,uygur_2011_ankarauniv,es064,male,Total immobility time,Verified – no change,,,8.29,8.29,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,7.86,7.86,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.
66,uygur_2011_ankarauniv,es065,male,Total immobility time,Verified – no change,,,13.52,13.52,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,12.83,12.83,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.
67,uygur_2011_ankarauniv,es066,male,Total swimming time,Verified – no change,,,6.28,6.28,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,5.96,5.96,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.
68,uygur_2011_ankarauniv,es067,male,Total swimming time,Verified – no change,,,13.15,13.15,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,12.48,12.48,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.
69,uygur_2011_ankarauniv,es068,male,Total diving time,Corrected transcription,1 – Uygur 2011 outcome units,"The paper reports total time spent in diving or jumping, not event counts. | The outcome is a duration in seconds.",1.49,1.49,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,1.42,1.42,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.
70,uygur_2011_ankarauniv,es069,male,Total diving time,Corrected transcription,1 – Uygur 2011 outcome units,"The paper reports total time spent in diving or jumping, not event counts. | The outcome is a duration in seconds.",0.95,0.95,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,0.9,0.9,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.
71,uygur_2011_ankarauniv,es070,male,Total jumping time,Corrected transcription,1 – Uygur 2011 outcome units,"The paper reports total time spent in diving or jumping, not event counts. | The outcome is a duration in seconds.",4.89,4.89,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,4.64,4.64,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.
72,uygur_2011_ankarauniv,es071,male,Total jumping time,Corrected transcription,1 – Uygur 2011 outcome units,"The paper reports total time spent in diving or jumping, not event counts. | The outcome is a duration in seconds.",3.93,3.93,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,3.73,3.73,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.
73,morra_1965_physiolrec,es072,mixed,Sections crossed,Verified – no change,,,,1.058301,SD / sqrt(n); derived for analysis from the extracted SD and sample size,Table 2 and text,,1.402956,SD / sqrt(n); derived for analysis from the extracted SD and sample size,Table 2 and text
74,morra_1965_physiolrec,es073,mixed,Initial latency to move,Verified – no change,,,,0.995306,SD / sqrt(n); derived for analysis from the extracted SD and sample size,Table 2 and text,,1.386053,SD / sqrt(n); derived for analysis from the extracted SD and sample size,Table 2 and text
75,abramova_2021_front,es074,female,Sections crossed,Corrected transcription,6 – Abramova 2021 same-sex controls,Use the females control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (squares). | Recalculate the control SD from the same-sex author raw subgroup (squares). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,3.523056,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,2.913236,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
76,abramova_2021_front,es075,male,Sections crossed,Corrected transcription,6 – Abramova 2021 same-sex controls,Use the males control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (squares). | Recalculate the control SD from the same-sex author raw subgroup (squares). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,3.158058,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,3.43496,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
77,abramova_2021_front,es076,female,Rearing frequency,Corrected transcription,6 – Abramova 2021 same-sex controls,Use the females control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (rearing). | Recalculate the control SD from the same-sex author raw subgroup (rearing). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,1.825711,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,1.014201,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
78,abramova_2021_front,es077,male,Rearing frequency,Corrected transcription,6 – Abramova 2021 same-sex controls,Use the males control subgroup matching offspring_sex. | Recalculate the control mean from the same-sex author raw subgroup (rearing). | Recalculate the control SD from the same-sex author raw subgroup (rearing). | All summaries in this package are calculated from the saved author workbook. | Use the stable path to the saved author workbook.,,1.386747,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,0.983986,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling"
