package,study_id,es_id,source_csv_row,field,old_value_v3,new_value_v4,status,source,rationale
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es016,17,frequency_Hz,"0-2,000","0-20,000",Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The source states all frequencies from 0 to 20 kHz.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es016,17,noise_type,Ultrasound,White noise,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3","The source describes a white-noise generator, not ultrasound."
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es016,17,noise_frequency_range,Ultrasound,Audible,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The stated range is within the audible/broadband band used in this review.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es017,18,frequency_Hz,"0-2,000","0-20,000",Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The source states all frequencies from 0 to 20 kHz.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es017,18,noise_type,Ultrasound,White noise,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3","The source describes a white-noise generator, not ultrasound."
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es017,18,noise_frequency_range,Ultrasound,Audible,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The stated range is within the audible/broadband band used in this review.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es018,19,data_file,arjunan_2023_stress_fig3B_per,arjunan_2023_stress_fig3B_peri.png,Corrected transcription,Metadigitise_figs/arjunan_2023_stress_fig3B_peri.png,Use the exact saved image filename for reproducibility.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es018,19,frequency_Hz,"0-2,000","0-20,000",Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The source states all frequencies from 0 to 20 kHz.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es018,19,noise_type,Ultrasound,White noise,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3","The source describes a white-noise generator, not ultrasound."
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es018,19,noise_frequency_range,Ultrasound,Audible,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The stated range is within the audible/broadband band used in this review.
4 – Barzegar 2014 title and SEM,barzegar_2014_hippo,es004,5,data_file,barzegar_2014_figure2,barzegar_2014_figure2a.png,Corrected transcription,Metadigitise_figs/barzegar_2014_figure2a.png,Use the exact saved image filename for reproducibility.
4 – Barzegar 2014 title and SEM,barzegar_2014_hippo,es004,5,title,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",Corrected transcription,included_studies/barzegar_2014_hippo.pdf,Replace the title copied from another study with the Barzegar paper title.
4 – Barzegar 2014 title and SEM,barzegar_2014_hippo,es005,6,data_file,barzegar_2014_figure2,barzegar_2014_figure2b.png,Corrected transcription,Metadigitise_figs/barzegar_2014_figure2b.png,Use the exact saved image filename for reproducibility.
4 – Barzegar 2014 title and SEM,barzegar_2014_hippo,es006,7,data_file,barzegar_2014_figure2,barzegar_2014_figure2a.png,Corrected transcription,Metadigitise_figs/barzegar_2014_figure2a.png,Use the exact saved image filename for reproducibility.
4 – Barzegar 2014 title and SEM,barzegar_2014_hippo,es006,7,ex_se_reported,8.43,2.666667,Corrected transcription,"Metadigitise_figs/metaDigitise_output.csv; barzegar_2014_figure2a, N2","The digitised figure error is SEM; 8.43 is the corresponding SD, not the reported SEM."
4 – Barzegar 2014 title and SEM,barzegar_2014_hippo,es007,8,data_file,barzegar_2014_figure2,barzegar_2014_figure2b.png,Corrected transcription,Metadigitise_figs/barzegar_2014_figure2b.png,Use the exact saved image filename for reproducibility.
4 – Barzegar 2014 title and SEM,barzegar_2014_hippo,es008,9,data_file,barzegar_2014_figure2,barzegar_2014_figure2a.png,Corrected transcription,Metadigitise_figs/barzegar_2014_figure2a.png,Use the exact saved image filename for reproducibility.
4 – Barzegar 2014 title and SEM,barzegar_2014_hippo,es009,10,data_file,barzegar_2014_figure2b,barzegar_2014_figure2b.png,Corrected transcription,Metadigitise_figs/barzegar_2014_figure2b.png,Use the exact saved image filename for reproducibility.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es130,131,c_se_analysis,18.1638,5.948995,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es131,132,c_se_analysis,23.1577,6.011893,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es131,132,ex_se_analysis,14.9063,4.86045,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es132,133,c_se_analysis,8.3527,2.38249,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es133,134,c_se_analysis,9.9437,2.286889,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es133,134,ex_se_analysis,7.0469,2.22715,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es134,135,c_se_analysis,0.6629,1.0596,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es135,136,c_se_analysis,0.9723,0.647816,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es135,136,ex_se_analysis,0.3125,0.232725,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es136,137,c_se_analysis,4.4207,3.898315,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es137,138,c_se_analysis,4.9042,4.774845,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es137,138,ex_se_analysis,4.2813,3.074025,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es138,139,c_se_analysis,3.3508,5.49871,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es139,140,c_se_analysis,2.919,7.584251,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es139,140,ex_se_analysis,8.1981,7.162475,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es140,141,c_se_analysis,1.6352,1.308466,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es141,142,c_se_analysis,1.0165,0.639118,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es141,142,ex_se_analysis,0.75,0.341575,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es142,143,c_se_analysis,63.1059,3.82068,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es143,144,c_se_analysis,63.7452,5.562291,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es144,145,c_se_analysis,3.4941,3.644701,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es145,146,c_se_analysis,6.324,5.168479,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es146,147,c_se_analysis,0.436,0.467204,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es147,148,c_se_analysis,1.0345,0.616432,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es148,149,c_se_analysis,0.6485,0.280045,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es149,150,c_se_analysis,0.8773,0.441376,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es150,151,c_se_analysis,0.6596,0.682381,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es151,152,c_se_analysis,1.3618,1.164723,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es152,153,c_se_analysis,10.6014,8.57418,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es153,154,c_se_analysis,11.0271,10.421458,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es154,155,c_se_analysis,1.8448,0.864128,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es155,156,c_se_analysis,2.763,1.295561,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es156,157,c_se_analysis,5.1394,8.108117,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es157,158,c_se_analysis,2.6348,7.265923,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es158,159,c_se_analysis,0.8497,0.531133,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es159,160,c_se_analysis,1.0345,0.53099,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es160,161,c_se_analysis,54.0167,13.930026,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es160,161,ex_se_analysis,42.7578,16.378815,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es161,162,c_se_analysis,42.2685,13.264451,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es161,162,ex_se_analysis,51.7909,18.9553,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es162,163,c_se_analysis,18.658,12.045387,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es162,163,ex_sd,28.588,28.935591,Corrected transcription,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Use the SD in the matching author-data descriptive row before deriving SE.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es162,163,ex_se_analysis,13.4021,6.63828,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es163,164,c_se_analysis,15.4811,6.411963,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
5 – Abramova 2020 derived SEs,abramova_2020_genpath,es163,164,ex_se_analysis,12.4549,8.4909,Corrected derived value,"included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",Retain the author-data SD and n; correct only the deterministic SE derivation.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es074,75,c_mean,29,33.73913,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate the control mean from the same-sex author raw subgroup (squares).
6 – Abramova 2021 same-sex controls,abramova_2021_front,es074,75,c_n,25,23,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Use the females control subgroup matching offspring_sex.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es074,75,c_sd,15.7903,16.895985,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate the control SD from the same-sex author raw subgroup (squares).
6 – Abramova 2021 same-sex controls,abramova_2021_front,es074,75,c_se_analysis,3.1581,3.523056,Corrected derived value,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate SE after replacing the opposite-sex control summary with the same-sex subgroup.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es074,75,data_file,OF-pups-abramova2015,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Use the stable path to the saved author workbook.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es074,75,data_source,Figure 2a,Author raw data,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",All summaries in this package are calculated from the saved author workbook.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es075,76,c_mean,33.7391,29,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate the control mean from the same-sex author raw subgroup (squares).
6 – Abramova 2021 same-sex controls,abramova_2021_front,es075,76,c_n,23,25,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Use the males control subgroup matching offspring_sex.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es075,76,c_sd,16.896,15.790292,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate the control SD from the same-sex author raw subgroup (squares).
6 – Abramova 2021 same-sex controls,abramova_2021_front,es075,76,c_se_analysis,3.5231,3.158058,Corrected derived value,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate SE after replacing the opposite-sex control summary with the same-sex subgroup.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es075,76,data_file,OF-pups-abramova2016,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Use the stable path to the saved author workbook.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es075,76,data_source,Figure 2a,Author raw data,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",All summaries in this package are calculated from the saved author workbook.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es076,77,c_mean,8.92,10.130435,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate the control mean from the same-sex author raw subgroup (rearing).
6 – Abramova 2021 same-sex controls,abramova_2021_front,es076,77,c_n,25,23,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Use the females control subgroup matching offspring_sex.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es076,77,c_sd,6.9337,8.7558,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate the control SD from the same-sex author raw subgroup (rearing).
6 – Abramova 2021 same-sex controls,abramova_2021_front,es076,77,c_se_analysis,1.3867,1.825711,Corrected derived value,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate SE after replacing the opposite-sex control summary with the same-sex subgroup.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es076,77,data_file,OF-pups-abramova2017,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Use the stable path to the saved author workbook.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es076,77,data_source,Figure 2b,Author raw data,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",All summaries in this package are calculated from the saved author workbook.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es077,78,c_mean,10.1304,8.92,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate the control mean from the same-sex author raw subgroup (rearing).
6 – Abramova 2021 same-sex controls,abramova_2021_front,es077,78,c_n,23,25,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Use the males control subgroup matching offspring_sex.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es077,78,c_sd,8.7558,6.933734,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate the control SD from the same-sex author raw subgroup (rearing).
6 – Abramova 2021 same-sex controls,abramova_2021_front,es077,78,c_se_analysis,1.8257,1.386747,Corrected derived value,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Recalculate SE after replacing the opposite-sex control summary with the same-sex subgroup.
6 – Abramova 2021 same-sex controls,abramova_2021_front,es077,78,data_file,OF-pups-abramova2018,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Corrected transcription,"included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",Use the stable path to the saved author workbook.
