"package","study_id","es_id","source_csv_row","field","old_value_v4","new_value_v5","status","source","rationale"
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es110","111","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es111","112","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es112","113","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es113","114","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es114","115","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es115","116","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es116","117","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es117","118","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es118","119","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es119","120","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es120","121","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es121","122","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es122","123","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es123","124","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es124","125","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es125","126","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es126","127","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es127","128","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es128","129","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es129","130","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
