study_id,es_id,csv_row,source_file,source_locator,current_offspring_sex,source_offspring_sex,control_source_sex,experimental_source_sex,statistics_status,notes
abramova_2023_biopsy,es196,197,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 34; Elevated Plus Maze; Mean grooming bout duration; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es197,198,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 35; Elevated Plus Maze; Mean grooming bout duration; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es198,199,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 36; Sucrose preference (Anhedonia); Sucrose preference index; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es199,200,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 37; Sucrose preference (Anhedonia); Sucrose preference index; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es200,201,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 38; Forced swim; Immobility time; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es201,202,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 39; Forced swim; Immobility time; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es202,203,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 40; Forced swim; Passive swimming time; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es203,204,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 41; Forced swim; Passive swimming time; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es204,205,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 42; Forced swim; Active swimming time; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es205,206,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 43; Forced swim; Active swimming time; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es206,207,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 44; Forced swim; Number of dives; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es207,208,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 45; Forced swim; Number of dives; Female,female,female,,,match,Statistics match the prepared table extraction.
